emp_no,first_name,last_name,from_date,to_date,titles,dept_name
10749,King,Brendel,1985-09-26,1990-09-26,Engineer,Production
10767,Monique,Doering,1997-07-15,9999-01-01,Staff,Sales
10768,Ishfaq,Candan,1985-07-04,1990-07-04,Engineer,Production
10778,Selwyn,Merey,1986-07-04,9999-01-01,Senior Staff,Marketing
10791,Tadahiko,Sgarro,1988-07-30,1995-07-31,Engineer,Development
10795,Supot,Naudin,1999-05-03,9999-01-01,Senior Staff,Sales
10808,Chenxi,Leijenhorst,1987-03-07,9999-01-01,Senior Engineer,Development
10835,Tomoyuki,Kermarrec,1995-08-22,9999-01-01,Engineer,Production
10836,Jianhua,Leivant,1987-08-10,9999-01-01,Senior Staff,Customer Service
10844,Dipayan,Koprowski,1997-04-25,9999-01-01,Engineer,Development
10847,Theirry,Danley,1992-07-24,9999-01-01,Senior Staff,Research
10848,Fen,Bratsberg,1985-04-20,1992-04-20,Engineer,Production
10878,Lakshmi,Deville,1997-04-25,9999-01-01,Staff,Sales
10879,Muzhong,Chleq,1985-08-15,9999-01-01,Senior Engineer,Development
10883,Shimshon,Champarnaud,1996-12-28,9999-01-01,Engineer,Production
10909,Georgi,Atchley,1993-12-26,2000-12-26,Engineer,Development
10921,Mara,Bahi,1986-07-27,1995-07-27,Engineer,Production
10924,Hironoby,Atchley,1997-08-14,9999-01-01,Senior Staff,Sales
10927,Gal,Scallan,1993-09-12,9999-01-01,Senior Staff,Marketing
10936,Mountaz,Schicker,1996-05-08,9999-01-01,Senior Staff,Human Resources
10943,Berna,Skafidas,1993-05-22,1999-05-22,Engineer,Development
10965,Eckart,Braunschweig,1986-07-29,9999-01-01,Senior Staff,Sales
10969,Premal,Noriega,1994-05-12,9999-01-01,Senior Engineer,Development
10974,Muneo,Papsdorf,1999-05-17,9999-01-01,Senior Engineer,Development
10986,Masako,Schiper,1985-10-11,9999-01-01,Technique Leader,Development
10988,Chinya,Deyuan,1985-06-19,9999-01-01,Senior Engineer,Development
10989,Sumali,Candan,1991-07-20,9999-01-01,Senior Staff,Finance
10990,Shin,Foote,1990-08-06,9999-01-01,Technique Leader,Development
11009,Alper,Axelband,1993-09-09,9999-01-01,Senior Staff,Sales
11012,Taegyun,Speckmann,1996-07-06,9999-01-01,Staff,Customer Service
11019,Leon,Huttel,1992-05-24,1997-05-24,Engineer,Development
11021,Srinidhi,Henders,1998-02-02,9999-01-01,Staff,Research
11027,Remzi,Cappello,1986-05-07,1991-05-07,Assistant Engineer,Production
11031,Ottavia,Walstra,1993-10-24,9999-01-01,Senior Staff,Marketing
11037,Lansing,Maliniak,1988-01-28,1995-01-28,Engineer,Production
11038,Jinya,Beidas,1992-07-15,9999-01-01,Senior Staff,Research
11042,Gou,Breugel,1993-06-21,2000-06-21,Engineer,Development
11048,Jaques,Demke,1999-05-27,9999-01-01,Senior Staff,Sales
11050,Elvis,Katiyar,1991-05-06,9999-01-01,Senior Staff,Marketing
11051,Przemyslawa,Erol,1991-03-27,2000-03-26,Engineer,Production
11070,Adib,Raney,1985-07-24,1991-07-24,Engineer,Quality Management
11081,Barry,Boyle,1994-06-17,9999-01-01,Senior Staff,Finance
11085,Hailing,Thummel,1996-02-10,9999-01-01,Senior Engineer,Production
11100,Berna,Cochrane,1993-10-13,9999-01-01,Senior Staff,Research
11106,Aris,Iwayama,1985-08-31,1991-08-31,Assistant Engineer,Development
11112,Boaz,Mukaidono,1995-04-28,9999-01-01,Staff,Customer Service
11113,Shahab,Peng,1991-11-30,9999-01-01,Senior Staff,Marketing
11121,Vugranam,Kakkad,1992-10-31,1999-11-01,Engineer,Development
11133,Nalini,Azulay,1994-03-06,9999-01-01,Technique Leader,Quality Management
11134,Sachar,Rajcani,1993-05-19,2002-05-19,Engineer,Quality Management
11137,Hugh,Luca,1995-03-16,9999-01-01,Engineer,Development
11139,Bogdan,Homond,1995-05-11,9999-01-01,Senior Staff,Customer Service
11146,Ishfaq,Masand,1997-08-21,9999-01-01,Senior Staff,Sales
11148,Zhanqiu,Botman,1997-02-08,9999-01-01,Senior Staff,Human Resources
11162,Kauko,Narlikar,1985-03-28,1990-03-28,Engineer,Development
11180,Mitsuyuki,Bojadziev,1986-06-11,1992-06-10,Engineer,Development
11197,Tadahiro,Fordan,1989-09-12,9999-01-01,Senior Staff,Sales
11204,Diederik,Covnot,1985-09-18,9999-01-01,Technique Leader,Production
11207,Saeed,Gips,1999-01-31,9999-01-01,Engineer,Development
11208,Saniya,Valtorta,1994-11-17,9999-01-01,Technique Leader,Production
11211,Yurij,Rissland,1985-09-17,9999-01-01,Senior Engineer,Production
11217,Kellie,Mawatari,1990-03-11,9999-01-01,Senior Engineer,Production
11232,Hidefumi,Crelier,2000-08-01,9999-01-01,Senior Staff,Customer Service
11240,Kiam,Condotta,1989-01-06,1997-01-06,Assistant Engineer,Development
11249,Randi,Cyre,1986-09-22,1994-09-22,Assistant Engineer,Development
11251,Bezalel,Chinal,1993-06-15,9999-01-01,Senior Staff,Marketing
11268,Aimee,Petersohn,1987-10-25,1995-10-25,Engineer,Production
11275,Hitomi,Eppinger,1989-04-25,1998-04-25,Engineer,Development
11290,Visit,Dredge,1999-05-13,9999-01-01,Engineer,Development
11295,Abdelkader,Lanzelotte,1990-05-15,9999-01-01,Senior Staff,Finance
11319,Pranas,Marrakchi,1998-11-01,9999-01-01,Assistant Engineer,Development
11320,Atilio,McAlpine,1998-04-06,9999-01-01,Senior Staff,Marketing
11322,Nathalie,Pocchiola,1985-07-07,1992-07-07,Assistant Engineer,Quality Management
11324,Kauko,Billingsley,1985-08-29,9999-01-01,Senior Engineer,Production
11338,Kwangsub,Hanratty,1998-10-28,9999-01-01,Senior Staff,Sales
11339,Flemming,Massonet,1989-12-19,9999-01-01,Senior Engineer,Production
11347,Anneli,Jonsson,1986-04-20,1992-04-19,Engineer,Development
11365,Toshimi,Shinomoto,1997-12-18,9999-01-01,Engineer,Production
11376,Valery,Suomi,1994-03-14,9999-01-01,Senior Staff,Research
11380,Kenroku,Pelc,1991-04-19,1996-04-18,Assistant Engineer,Development
11385,Shiv,Ullian,1999-08-08,9999-01-01,Engineer,Production
11386,Alselm,Assaf,1987-11-30,1993-11-29,Engineer,Quality Management
11393,Junsik,Junot,1985-04-30,1992-04-30,Engineer,Production
11398,Oscar,Peir,2001-09-07,9999-01-01,Senior Staff,Finance
11404,Bedrich,Borovoy,1990-09-25,9999-01-01,Technique Leader,Development
11415,Sanjiv,Anido,1996-12-07,9999-01-01,Engineer,Production
11421,Josyula,Msuda,1986-09-02,1995-09-02,Engineer,Production
11441,Marlo,Aingworth,1987-03-27,9999-01-01,Senior Staff,Sales
11449,Kotesh,Asser,1995-02-03,2000-02-03,Engineer,Production
11459,Duke,Suomi,1992-05-02,9999-01-01,Senior Staff,Human Resources
11469,Guttorm,Giaccio,1994-09-08,1999-09-08,Engineer,Production
11506,Rance,Picel,1996-04-08,9999-01-01,Staff,Sales
11509,Aleksander,Feldhoffer,1987-11-12,1992-11-11,Engineer,Development
11513,Otmar,Mahnke,1998-08-25,9999-01-01,Senior Staff,Finance
11515,Ulf,Basawa,1998-09-21,9999-01-01,Staff,Sales
11518,Jinxi,Oxman,1999-09-22,9999-01-01,Senior Staff,Human Resources
11524,Xiadong,Standera,1996-07-05,9999-01-01,Senior Engineer,Development
11527,Alagu,Boyle,1999-01-28,9999-01-01,Staff,Marketing
11528,Zito,Dolinsky,1987-06-15,9999-01-01,Technique Leader,Production
11537,DAIDA,Pehl,1986-07-06,9999-01-01,Senior Staff,Sales
11554,Subhash,Taubenfeld,1998-07-15,9999-01-01,Staff,Human Resources
11555,Kotesh,Perfilyeva,1991-10-14,9999-01-01,Senior Staff,Human Resources
11567,Teiji,Mitzlaff,1996-02-03,9999-01-01,Senior Staff,Sales
11568,Martins,Fujisaki,1992-03-13,2000-03-13,Engineer,Development
11603,Herb,Swen,1994-04-13,9999-01-01,Senior Staff,Finance
11607,Tomokazu,Foong,1995-04-19,9999-01-01,Engineer,Production
11615,Shem,Isaak,2000-08-28,9999-01-01,Senior Staff,Sales
11624,Adil,Gammage,1989-07-15,1996-07-15,Engineer,Production
11628,Fan,Malinowski,1988-10-23,1997-10-23,Engineer,Research
11640,Valeri,Coorg,1988-09-26,9999-01-01,Senior Engineer,Development
11647,Magy,Nitsche,1988-05-11,1993-05-11,Engineer,Development
11660,Gill,Stenning,1994-11-22,9999-01-01,Senior Staff,Sales
11673,Henk,Felder,1989-06-10,9999-01-01,Technique Leader,Production
11676,Valeri,Ferriere,1998-07-15,9999-01-01,Engineer,Production
11681,Fumitake,Benzmuller,1988-08-27,1995-08-28,Engineer,Production
11684,Oksana,Gide,1995-02-21,9999-01-01,Senior Staff,Marketing
11696,Dante,Rothe,1994-10-23,9999-01-01,Senior Staff,Sales
11732,Sanjoy,Ranft,1996-12-22,9999-01-01,Senior Engineer,Customer Service
11735,Amalendu,Picci,1997-07-14,9999-01-01,Senior Staff,Customer Service
11746,Koichi,Marrakchi,1995-11-18,9999-01-01,Senior Staff,Sales
11751,Jiafu,Emiris,1993-11-03,9999-01-01,Senior Staff,Research
11764,Sanjay,Anick,1991-12-16,1996-12-15,Engineer,Production
11769,Chandrasekaran,Lampe,2001-10-22,9999-01-01,Senior Staff,Research
11772,Gaurav,Penz,1999-11-07,9999-01-01,Engineer,Development
11797,Chenxi,Thambidurai,1996-08-30,9999-01-01,Senior Staff,Sales
11810,Amabile,Bhattacharjee,1992-01-05,9999-01-01,Senior Engineer,Development
11817,Niranjan,Markovitch,1993-04-12,9999-01-01,Senior Staff,Sales
11832,Arto,Zlotek,1996-02-04,9999-01-01,Engineer,Development
11844,Shawna,Demeyer,1988-01-27,1995-01-27,Engineer,Development
11853,Zeljko,Kusakabe,1996-11-17,9999-01-01,Senior Staff,Marketing
11857,Divier,Farrag,1986-08-27,9999-01-01,Senior Staff,Sales
11864,Pradeep,Kriebel,1995-11-02,9999-01-01,Staff,Customer Service
11871,Nalini,Sommen,1993-10-13,1998-10-13,Engineer,Development
11872,Cheong,Riexinger,2002-02-12,9999-01-01,Senior Staff,Marketing
11894,Mitchel,Validov,1988-06-22,9999-01-01,Senior Engineer,Development
11897,Cordelia,Setlzner,1997-06-16,9999-01-01,Senior Staff,Sales
11906,Hideo,Boguraev,1999-02-07,9999-01-01,Engineer,Development
11915,Miomir,Mawatari,1992-06-28,2001-06-28,Engineer,Production
11931,Gunilla,Chiodo,2000-01-13,9999-01-01,Senior Staff,Research
11933,Basil,Erman,1987-06-13,1992-06-12,Engineer,Development
11949,Martijn,Harbusch,1985-03-11,9999-01-01,Technique Leader,Production
11983,Jaana,Hedayat,1986-10-11,1994-10-11,Engineer,Development
11993,Marit,Dalphin,1996-10-22,9999-01-01,Senior Staff,Human Resources
12011,Zhilian,Coorg,1997-07-22,9999-01-01,Senior Staff,Sales
12036,Mads,Ratzlaff,1995-09-05,9999-01-01,Senior Staff,Sales
12037,Arunas,Katzenelson,1992-09-30,9999-01-01,Senior Staff,Customer Service
12050,Yuchang,Tchuente,1989-04-01,1996-04-01,Assistant Engineer,Production
12062,Margareta,Worfolk,1996-01-04,9999-01-01,Senior Staff,Human Resources
12069,Ayonca,Burnard,1985-05-13,1990-05-13,Assistant Engineer,Development
12070,Ger,Shokrollahi,1988-11-14,9999-01-01,Technique Leader,Development
12076,Karlis,Siprelle,1985-03-25,9999-01-01,Senior Staff,Sales
12082,Xinan,Yamaashi,1992-01-29,9999-01-01,Senior Staff,Sales
12089,Bilhanan,Socorro,1994-10-22,9999-01-01,Senior Staff,Human Resources
12099,Nobuyoshi,Kuzuoka,1999-02-15,9999-01-01,Senior Staff,Sales
12112,Satyanarayana,Avouris,1997-09-26,9999-01-01,Senior Staff,Finance
12122,Satoru,Krone,1987-07-24,1992-07-23,Engineer,Production
12123,Xiahua,Syrzycki,1994-07-18,9999-01-01,Senior Staff,Research
12125,Shounak,Erman,1997-03-31,9999-01-01,Engineer,Development
12149,Suebskul,Grandbois,1988-10-01,9999-01-01,Senior Staff,Sales
12159,Shem,Perly,1985-07-17,9999-01-01,Senior Engineer,Development
12165,Xiaobin,Maquelin,1994-08-29,9999-01-01,Senior Engineer,Development
12183,Harngdar,Iisaku,1998-04-04,9999-01-01,Engineer,Quality Management
12192,Feiyu,Klyachko,1986-09-02,1991-09-02,Engineer,Quality Management
12205,Sushant,Rossi,1987-11-11,9999-01-01,Senior Engineer,Development
12206,Barton,Janetzko,1985-03-27,1993-03-27,Assistant Engineer,Development
12218,Yaghout,Strooper,1991-03-12,2000-03-11,Engineer,Quality Management
12221,Vincent,Melter,1985-09-16,1991-09-16,Engineer,Development
12222,Abdelwaheb,Holburn,1996-08-14,9999-01-01,Senior Staff,Finance
12223,Niteen,Koyama,1986-08-13,1995-08-13,Engineer,Production
12247,Subbu,Penttonen,1985-04-09,9999-01-01,Technique Leader,Development
12249,Eldridge,Sadowski,1987-06-21,1996-06-20,Engineer,Development
12256,Guadalupe,Reghbati,1992-08-26,9999-01-01,Senior Staff,Human Resources
12264,Mart,Pagter,1998-01-09,9999-01-01,Engineer,Development
12270,Shakhar,Kornyak,1996-08-19,9999-01-01,Senior Staff,Research
12272,Behnaam,Grandbois,1992-12-07,9999-01-01,Senior Staff,Human Resources
12308,Mototsugu,Cronau,1991-08-11,9999-01-01,Senior Staff,Human Resources
12311,Susanne,Lubachevsky,1985-10-22,9999-01-01,Senior Engineer,Development
12327,DAIDA,Bruckman,1986-10-16,1992-10-15,Engineer,Development
12341,Rasiah,Luga,1985-05-25,1990-05-25,Engineer,Development
12343,Sorina,Slaats,1997-08-25,9999-01-01,Senior Staff,Customer Service
12365,Kamakshi,Bisiani,1988-09-12,1994-09-12,Engineer,Production
12373,Mooi,Driscoll,1993-11-11,9999-01-01,Senior Staff,Sales
12395,Sanjit,Felder,1995-06-05,9999-01-01,Senior Staff,Finance
12399,Mihalis,Luga,1996-12-06,9999-01-01,Senior Staff,Sales
12411,Shao,Ibel,1991-08-17,9999-01-01,Senior Staff,Sales
12413,Hugh,Gadepally,1994-03-04,1999-03-04,Engineer,Production
12417,Dannz,Spelt,1998-02-02,9999-01-01,Senior Engineer,Production
12422,Berhard,Demos,2001-06-07,9999-01-01,Senior Staff,Human Resources
12454,Kerryn,Farris,1998-12-18,9999-01-01,Staff,Sales
12464,Shai,Milicic,1998-06-01,9999-01-01,Staff,Sales
12475,Filipe,Roison,1987-04-26,1996-04-25,Engineer,Development
12487,Mona,Reghbati,1998-12-07,9999-01-01,Senior Staff,Human Resources
12489,Arnould,Munck,1986-04-11,9999-01-01,Senior Engineer,Development
12490,Jackson,Muchinsky,1994-05-09,2000-05-08,Engineer,Development
12497,Stein,Penz,1997-09-25,9999-01-01,Senior Staff,Sales
12501,Morrie,Matheson,1986-06-05,9999-01-01,Senior Staff,Finance
12504,Adly,Rosaz,1997-08-14,9999-01-01,Engineer,Production
12514,Tomofumi,Melter,1999-11-13,9999-01-01,Engineer,Development
12528,Conor,Cincotta,1997-09-24,9999-01-01,Senior Staff,Customer Service
12534,Yongmao,Gerlach,1985-08-14,9999-01-01,Senior Engineer,Production
12541,Shih,Nanard,1996-08-31,9999-01-01,Senior Staff,Sales
12542,Kazuhide,Bouloucos,1993-09-11,9999-01-01,Senior Staff,Human Resources
12551,Jeane,Tzvieli,1987-12-04,1993-12-03,Engineer,Production
12553,Aral,Vesna,1987-02-28,9999-01-01,Senior Staff,Human Resources
12557,Stafford,Kopetz,1988-03-20,9999-01-01,Senior Engineer,Quality Management
12589,Anoosh,Chleq,1988-09-08,1997-09-08,Engineer,Development
12596,Breannda,Roisin,1996-09-29,9999-01-01,Senior Staff,Human Resources
12601,Ghassan,Simkin,1992-07-09,1997-07-09,Assistant Engineer,Development
12608,Nectarios,Mondadori,2000-02-22,9999-01-01,Senior Staff,Human Resources
12635,Xinyu,Restivo,1995-02-03,2000-02-03,Engineer,Customer Service
12638,Yuqun,Seiwald,1999-04-29,9999-01-01,Engineer,Development
12642,Suebskul,Gips,2001-10-28,9999-01-01,Senior Staff,Marketing
12651,Pragnesh,Bael,1988-01-27,9999-01-01,Senior Staff,Sales
12662,Leucio,Alvarado,1985-08-27,1994-08-27,Assistant Engineer,Development
12663,Nobuyoshi,Stellhorn,1986-09-29,9999-01-01,Technique Leader,Development
12664,Zhonghua,Parveen,1999-08-04,9999-01-01,Staff,Customer Service
12689,Luerbio,Boudaillier,1992-11-23,2001-11-23,Engineer,Development
12691,Oddvar,Gils,1992-08-25,1998-08-25,Engineer,Production
12697,Uri,Brizzi,1994-07-11,9999-01-01,Senior Staff,Human Resources
12709,Ronghao,Botman,1995-02-26,2001-02-25,Engineer,Development
12717,Tzu,Jiafu,1999-10-20,9999-01-01,Staff,Research
12722,Elliott,Cheshire,1985-03-29,9999-01-01,Senior Staff,Finance
12726,Fumitake,Panwar,1994-05-19,9999-01-01,Senior Engineer,Development
12729,Nahla,Rahier,1992-10-15,1997-10-15,Engineer,Customer Service
12731,Yongmao,Waymire,1988-04-05,9999-01-01,Senior Staff,Human Resources
12732,Mara,Takanami,1988-04-06,9999-01-01,Senior Staff,Sales
12734,Gil,Frijda,1986-03-03,9999-01-01,Senior Engineer,Development
12755,Rildo,Rodite,1994-03-18,9999-01-01,Senior Staff,Human Resources
12773,Jenwei,Lovengreen,1985-03-05,1994-03-05,Engineer,Development
12790,Gunilla,Perl,2000-08-07,9999-01-01,Senior Staff,Sales
12795,Masoud,Fordan,1997-06-23,9999-01-01,Senior Staff,Finance
12798,Lillian,Beeson,1996-12-26,9999-01-01,Senior Staff,Sales
12803,Gad,Boissier,1990-03-16,9999-01-01,Senior Staff,Sales
12815,Sushant,Junot,1993-02-27,9999-01-01,Senior Staff,Research
12819,Mountaz,Gubsky,1989-09-09,1996-09-09,Engineer,Production
12848,Kazuhide,Smeets,1997-05-11,9999-01-01,Engineer,Development
12863,Leif,Matheson,1985-09-06,1990-09-06,Engineer,Production
12872,Marl,Schmittgen,1993-09-09,9999-01-01,Senior Staff,Sales
12879,Baruch,Eugenio,1990-06-11,1995-06-11,Engineer,Development
12890,Neven,Casley,1985-10-31,9999-01-01,Senior Staff,Sales
12893,Licheng,Crouzet,1995-03-18,9999-01-01,Senior Staff,Sales
12895,Roddy,Serot,1993-08-15,9999-01-01,Senior Engineer,Production
12905,Munehiro,Gecsei,1987-07-19,1993-07-18,Engineer,Development
12926,Heekeun,Luby,1992-12-24,9999-01-01,Senior Staff,Research
12940,Odinaldo,Farrar,1987-12-12,1992-12-11,Engineer,Development
12941,Tommaso,Perelgut,1986-11-06,1995-11-06,Engineer,Development
12949,Geoff,Asrin,1987-02-12,1992-02-12,Engineer,Development
12977,Byong,Markovitch,1987-08-24,1992-08-23,Engineer,Development
12983,Elliott,Hambrick,1999-06-28,9999-01-01,Staff,Finance
13030,Yahiko,Kroll,1999-11-25,9999-01-01,Senior Staff,Marketing
13046,Vivian,Stafford,1987-04-19,9999-01-01,Senior Staff,Finance
13047,Atilio,Chelton,1992-02-26,1997-02-25,Engineer,Development
13075,Rosella,Morrin,1991-08-17,9999-01-01,Senior Staff,Sales
13076,Deniz,Skafidas,1995-01-28,9999-01-01,Engineer,Development
13096,Ibibia,Armand,1994-04-22,2001-04-22,Engineer,Quality Management
13103,Srinidhi,Ellozy,1988-06-19,9999-01-01,Senior Engineer,Development
13124,Quingbo,Garnick,1985-03-17,9999-01-01,Senior Staff,Sales
13133,Guther,Senzako,1991-09-03,9999-01-01,Senior Staff,Customer Service
13134,Lorien,Chepyzhov,1987-10-23,1993-10-22,Engineer,Production
13144,Persi,Nollmann,1997-06-19,9999-01-01,Senior Staff,Finance
13146,Haldon,Erie,1985-05-25,9999-01-01,Senior Staff,Sales
13147,Shichao,Ginesta,1998-06-29,9999-01-01,Senior Staff,Sales
13156,Akeel,Millington,1992-08-18,2000-08-18,Engineer,Development
13165,Lucian,Benner,1988-03-16,1995-03-17,Engineer,Quality Management
13168,Munir,Stentiford,1987-09-11,1992-09-10,Engineer,Production
13170,Cheong,Bernardeschi,1998-01-09,9999-01-01,Senior Staff,Human Resources
13171,Anoosh,Birnbaum,1987-08-31,1995-08-31,Engineer,Quality Management
13173,Arve,Horswill,1996-09-23,9999-01-01,Senior Staff,Sales
13179,Moty,Janocha,1999-02-19,9999-01-01,Staff,Sales
13182,Kokou,Rodite,1999-03-03,9999-01-01,Engineer,Production
13186,Kyoichi,Barbanera,1995-04-29,9999-01-01,Senior Staff,Sales
13192,Rosita,Flowers,1993-02-01,9999-01-01,Technique Leader,Development
13202,Aram,Scharstein,1992-03-28,9999-01-01,Senior Staff,Research
13210,Jianhua,Klassen,2002-07-27,9999-01-01,Senior Staff,Sales
13213,Hein,Billawala,1993-08-30,9999-01-01,Senior Staff,Sales
13232,Mitchel,Fujisaki,1986-06-02,9999-01-01,Technique Leader,Development
13233,Alselm,Chvatal,1987-03-31,1995-03-31,Engineer,Development
13238,Ebru,Foote,1998-10-10,9999-01-01,Senior Staff,Sales
13240,King,Pileggi,1994-03-10,2001-03-10,Engineer,Development
13250,Zeydy,Schusler,1988-10-28,1993-10-28,Assistant Engineer,Production
13272,Arun,Jiang,1985-03-10,9999-01-01,Senior Staff,Customer Service
13276,Yechiam,Seuren,1991-03-09,9999-01-01,Senior Staff,Finance
13288,Muneo,Broomell,1995-04-14,9999-01-01,Senior Staff,Human Resources
13291,Georg,Stamatiou,1986-10-30,1993-10-30,Engineer,Development
13302,Mack,Alencar,1990-09-26,1997-09-26,Engineer,Development
13315,Sakthirel,Stroustrup,1991-06-02,1999-06-02,Engineer,Development
13332,Nidapan,Pearson,1987-09-24,1992-09-23,Assistant Engineer,Production
13333,Yoshinari,Hennebert,1988-03-23,1996-03-23,Assistant Engineer,Development
13341,Bodh,Doering,1992-03-10,9999-01-01,Senior Staff,Marketing
13343,Heon,Usery,1995-07-30,9999-01-01,Senior Staff,Human Resources
13368,Kiyokazu,Klassen,1997-09-30,9999-01-01,Staff,Human Resources
13371,Nakhoon,Riexinger,1991-12-13,9999-01-01,Senior Engineer,Production
13373,Juichirou,Naumovich,2000-08-23,9999-01-01,Senior Staff,Human Resources
13385,Claudi,Buchter,1986-06-10,9999-01-01,Senior Staff,Human Resources
13386,Khosrow,Sgarro,1986-02-23,9999-01-01,Technique Leader,Development
13389,Divine,Cmelik,1988-03-23,9999-01-01,Senior Staff,Research
13392,Fumitake,Beidas,1993-08-26,9999-01-01,Senior Staff,Sales
13396,Chuanyi,Aumann,1994-03-29,9999-01-01,Senior Staff,Customer Service
